Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1196868,Playing with Fire (Thinking Gender),Shane Phelan,"Phelan, Shane",,"=""0415914175""","=""9780415914178""",0,4.00,Routledge,Paperback,296,2020,1997,,2022/03/13,to-read,to-read (#292),to-read,,,,0,0
38515006,"Other, Please Specify: Queer Methods in Sociology",D'Lane R. Compton,"Compton, D'Lane R.","Tey Meadow, Kristen Schilt","=""0520289277""","=""9780520289277""",0,4.45,University of California Press,Paperback,352,2018,,,2022/03/13,to-read,to-read (#291),to-read,,,,0,0
733226,Queer Theories,Donald E. Hall,"Hall, Donald E.",,"=""0333775406""","=""9780333775400""",0,4.00,Red Globe Press,Paperback,214,2003,2002,,2022/03/13,to-read,to-read (#290),to-read,,,,0,0
49566034,Queer Theory Now: From Foundations to Futures,Hannah McCann,"McCann, Hannah",Whitney Monaghan,"=""""","=""""",0,4.29,Red Globe Press,Kindle Edition,268,2019,,,2022/03/13,to-read,to-read (#289),to-read,,,,0,0
356412,"Queer Theory, Gender Theory: An Instant Primer",Riki Anne Wilchins,"Wilchins, Riki Anne",,"=""1555837980""","=""9781555837983""",0,3.92,Alyson Pubns,Paperback,170,2004,2004,,2022/03/13,to-read,to-read (#288),to-read,,,,0,0
139569,Stone Butch Blues,Leslie Feinberg,"Feinberg, Leslie",,"=""1555838537""","=""9781555838539""",0,4.55,Alyson Books,Hardcover,308,2003,1993,,2022/02/26,to-read,to-read (#287),to-read,,,,0,0
35496260,El feminismo es para todo el mundo,bell hooks,"hooks, bell","Beatriz Esteban Agustí, Lina Tatiana Lozano Ruiz, Mayra Sofía Moreno, Maira Puertas Romo, Sara Vega González","=""""","=""""",0,4.16,Traficantes de Sueños,Paperback,154,2017,2000,,2022/02/21,to-read,to-read (#286),to-read,,,,0,0
52402565,Utopía Queer: El entonces y allí de la futuridad antinormativa,José Esteban Muñoz,"Muñoz, José Esteban",,"=""9871622848""","=""9789871622849""",4,4.30,Caja Negra Editora,Paperback,352,2020,2009,2022/02/20,2022/01/21,,,read,"Un libro interesante si lo que te llama la atención es la cultura y el arte queer. Pero no es un gran tratado sobre lo queer ni menos sobre la utopía, sino más bien una colección de ensayos donde relata las vidas y el arte de personajes queer (90% de ellos varones gay), y analiza su producción desde la perspectiva de los estudios culturales y lo queer. Sus divagaciones teóricas nunca son extensas ni elaboradas, y muchas veces se reducen a decir que “esto es como lo qué tal autor llamó equis”, sin profundizar. Aún así, resulta relevante su representación extensa y poco directa sobre lo que es una utopía queer (actos provocativos, sin sentido determinado o no alineados a lo productivo, sin temporalidad, sin lugar fijo, más bien orientadas hacia abrir posibilidades y futuros donde abunde una pluralidad de placeres y formas de vivir fuera de lo que actualmente es la norma).",,,1,0
40009561,"Categories We Live By: The Construction of Sex, Gender, Race, and Other Social Categories (Studies in Feminist Philosophy)",Ásta,"Ásta, Ásta",,"=""0190256796""","=""9780190256791""",5,4.19,Oxford University Press,Hardcover,156,2018,,2022/02/09,2021/07/10,físicos,físicos (#101),read,"Una perspectiva fresca y directa hacia la pregunta: ¿qué es ser mujer? Para responder esto, se pasa por las preguntas sobre qué es una categoría social, quien las define, cómo se llega a ser categorizado en una de ellas. Todas estas inquietudes filosóficas son desarrolladas de manera dinámica mediante breves discusiones teóricas, donde la autora nos muestra su proceso analítico para llegar a sus conclusiones. A lo largo del libro se van presentando las herramientas o marcos teóricos para entender las categorías y las identidades, apoyándose en esquemas que transforman estas teorías en reglas o funciones, y también en extensos ejemplos al estilo de juegos o situaciones. Todo esto hace que una temática compleja se vuelva más accesible llevadera de entender, dado que se explica reiteradamente y se aplica a distintos estudios de caso. ",,,1,0
1080912,"Visible Identities: Race, Gender, and the Self (Studies in Feminist Philosophy)",Linda Martín Alcoff,"Alcoff, Linda Martín",,"=""0195137353""","=""9780195137354""",0,3.94,"Oxford University Press, U.S.A.",Paperback,326,2005,2005,,2022/02/08,to-read,to-read (#285),to-read,,,,0,0
